kp,ki,kd,min_throttle,max_throttle,throttle_angle_threshold,crashed,runtime,distance,total_absolute_cte
0.21788410840817043,0.10571820070726339,0.16881213232432624,-0.49811457905746054,0.49811457905746054,0.3594550136880402,true,18.1793,238.543,8.1115
0.1360076227669014,0.08949882141681686,0.09531279958502258,-0.8486047836283447,0.8486047836283447,0.4538198574236725,true,12.7229,228.303,7.2955
0.13085214862218578,0.357911113442081,0.11171180361173036,-0.4429882053122517,0.4429882053122517,0.7521028007059414,true,6.0105,26.8528,7.3657
0.10609375472924178,0.07869784796065588,0.19950360367200312,-0.4310206642272251,0.4310206642272251,0.12937619162002278,false,90.0023,965.699,71.6216
0.12866468663483432,0.11002589230326579,0.1512943768272621,-0.3868737815086609,0.3868737815086609,0.4472141490573237,true,26.4289,332.596,12.924
0.2587031467706607,0.1482673992661382,0.16680698677117092,-0.675172510205757,0.675172510205757,0.5872027433657679,true,12.5879,177.365,7.25612
0.12439383488043794,0.08104197131518352,0.17720223024236395,-0.40264389046441323,0.40264389046441323,0.5088777592972987,true,26.2889,344.025,14.2446
0.08689181061938246,0.14606987461264065,0.17521496519070123,-0.7807200639162178,0.7807200639162178,0.48684411959012247,true,12.4872,200.038,10.0867
0.24156116046484494,0.12031890058139254,0.38662142279241446,-0.3759159292578658,0.3759159292578658,0.7892250129020844,true,21.168,232.423,7.46103
0.268467351111721,0.16075539290869842,0.1527515658465478,-0.1167064442117231,0.1167064442117231,0.33730971039385355,true,5.00746,4.99548,2.73574
0.11933607693406138,0.2084493746092008,0.16989403284448715,-0.7897706900511694,0.7897706900511694,0.539208032582277,true,11.8843,186.553,9.32619
0.23590241102327172,0.2737080713782288,0.07185093184493901,-0.5770418661009247,0.5770418661009247,0.430457679605537,true,6.80699,47.0625,8.85635
0.06847841068420656,0.2781093127328647,0.2194660345593518,-0.16329881166690322,0.16329881166690322,0.65272583364167,true,9.84976,26.1455,12.751
0.21428171080786448,0.17896085490652622,0.1046430976410686,-0.5065535282608075,0.5065535282608075,0.4984834975039566,true,17.3912,230.013,10.1293
0.16487136890808404,0.07364168392559642,0.1618377370984153,-0.8197608521480726,0.8197608521480726,0.36819494835871375,true,11.4405,183.462,6.50446
0.1282786381472808,0.05050960434530789,0.13397126931770184,-0.619268380442825,0.619268380442825,0.16053404567797358,true,55.1028,876.374,32.4982
0.1446509568670139,0.1027123063407235,0.12460116399288708,-0.2571596684109653,0.2571596684109653,0.603186764453363,false,90.0127,1056.42,39.1982
0.25463803119500755,0.13016152948040802,0.07636050022317571,-0.5069611089401511,0.5069611089401511,0.3656109368507924,true,15.6047,193.793,7.81182
0.2372319386889677,0.04611204530629553,0.15437867762605115,-0.4794278170170878,0.4794278170170878,0.5163146935845879,true,17.3418,217.408,5.87563
0.17113915072467015,0.07312479486386209,0.09551067170682831,-0.675059922975233,0.675059922975233,0.8462293680561002,true,14.841,235.902,8.24791
0.12396774829923721,0.11864483805933052,0.11680655144908683,-0.09219524421469753,0.09219524421469753,0.8256580305320377,true,5.00144,3.96348,3.19794
0.2613029370895897,0.3558704992000014,0.16820722866323026,-0.2770700259910889,0.2770700259910889,0.3051016738013825,true,9.10767,38.9775,11.7577
