kp,ki,kd,max_throttle,crashed,runtime,distance,total_absolute_cte
0.1,0.0025,0.01,0.3,true,38.6641,434.382,36.3305
0.2,0.0025,0.01,0.3,true,29.2037,298.059,23.6329
0.0,0.0025,0.01,0.3,true,17.4272,135.547,35.6095
0.1,0.10250000000000001,0.01,0.3,true,8.45362,37.3914,10.2173
0.1,-0.0975,0.01,0.3,true,5.81538,17.3,8.85514
0.1,0.0025000000000000022,0.11,0.3,false,90.0147,1209.49,43.9827
0.1,0.0025000000000000022,0.11,0.4,false,90.0134,1583.63,42.1864
0.19,0.0025000000000000022,0.11,0.4,false,90.0189,1568.87,27.5284
0.009999999999999981,0.0025000000000000022,0.11,0.4,true,47.0443,751.983,56.9109
0.09999999999999999,0.09250000000000001,0.11,0.4,false,90.0274,1586.77,35.0557
0.09999999999999999,0.09250000000000001,0.22000000000000003,0.4,false,90.013,1481.17,41.046
0.09999999999999999,0.09250000000000001,0.0,0.4,true,7.56564,39.1964,8.96427
0.09999999999999999,0.09250000000000001,0.11000000000000001,0.51,false,90.0133,1963.35,45.9456
0.181,0.09250000000000001,0.11000000000000001,0.51,false,90.0304,1927.02,35.6119
0.01899999999999996,0.09250000000000001,0.11000000000000001,0.51,false,90.0109,1987.27,91.8281
0.01899999999999996,0.19150000000000003,0.11000000000000001,0.51,true,7.11876,45.9004,9.85805
0.01899999999999996,-0.006500000000000006,0.11000000000000001,0.51,true,12.0564,124.184,24.5665
0.01899999999999996,0.09250000000000001,0.20900000000000002,0.51,true,49.6459,936.577,60.7238
0.01899999999999996,0.09250000000000001,0.010999999999999982,0.51,true,7.15454,45.9861,10.4639
0.01899999999999996,0.09250000000000001,0.11,0.631,true,35.6267,801.573,41.8488
0.01899999999999996,0.09250000000000001,0.11,0.38899999999999996,false,90.0252,1536.71,134.805
0.10809999999999999,0.09250000000000001,0.11,0.51,false,90.0173,1965.73,43.7213
-0.07010000000000007,0.09250000000000001,0.11,0.51,true,8.99603,71.9308,15.1872
0.01899999999999996,0.18160000000000004,0.11,0.51,true,7.2897,47.0378,10.0809
0.01899999999999996,0.003400000000000014,0.11,0.51,true,40.3827,779.838,43.1519
0.01899999999999996,0.09250000000000003,0.1991,0.51,true,49.6034,937.313,64.2932
0.01899999999999996,0.09250000000000003,0.020899999999999974,0.51,true,7.26094,47.0899,10.3185
0.01899999999999996,0.09250000000000003,0.10999999999999999,0.6189,true,36.0478,802.627,42.298
0.01899999999999996,0.09250000000000003,0.10999999999999999,0.40109999999999996,false,90.0073,1587.79,114.923
0.09918999999999999,0.09250000000000003,0.10999999999999999,0.51,false,90.0147,1965.19,47.1581
-0.061190000000000064,0.09250000000000003,0.10999999999999999,0.51,true,8.92753,71.0135,14.093
0.01899999999999996,0.17269000000000004,0.10999999999999999,0.51,true,9.56918,75.7481,17.5658
0.01899999999999996,0.012310000000000015,0.10999999999999999,0.51,true,45.2697,895.736,56.2439
0.01899999999999996,0.09250000000000003,0.19019,0.51,true,44.1513,820.119,53.2958
0.01899999999999996,0.09250000000000003,0.029809999999999975,0.51,true,7.3147,48.9574,10.1137
0.01899999999999996,0.09250000000000003,0.10999999999999999,0.60801,true,36.9307,812.859,43.6922
0.01899999999999996,0.09250000000000003,0.10999999999999999,0.41198999999999997,false,90.0007,1634.1,120.234
0.09117099999999999,0.09250000000000003,0.10999999999999999,0.51,false,90.0285,1969.83,47.7633
-0.053171000000000065,0.09250000000000003,0.10999999999999999,0.51,true,8.88121,70.9196,13.3718
0.01899999999999996,0.16467100000000004,0.10999999999999999,0.51,true,9.70414,79.7324,16.5872
0.01899999999999996,0.020329000000000014,0.10999999999999999,0.51,true,38.8417,741.27,39.2695
0.01899999999999996,0.09250000000000003,0.182171,0.51,true,44.0755,819.802,54.3945
0.01899999999999996,0.09250000000000003,0.037828999999999974,0.51,true,7.44884,50.2976,9.90468
0.01899999999999996,0.09250000000000003,0.10999999999999999,0.598209,true,36.936,801.354,44.1921
0.01899999999999996,0.09250000000000003,0.10999999999999999,0.4217909999999999,false,90.0348,1670.81,117.532
0.08395389999999998,0.09250000000000003,0.10999999999999999,0.5099999999999999,false,90.0154,1969.31,50.1028
-0.04595390000000006,0.09250000000000003,0.10999999999999999,0.5099999999999999,true,8.95713,71.2476,13.0208
0.01899999999999996,0.15745390000000004,0.10999999999999999,0.5099999999999999,true,10.0336,87.0705,16.7374
0.01899999999999996,0.027546100000000018,0.10999999999999999,0.5099999999999999,true,38.706,738.19,38.2219
0.01899999999999996,0.09250000000000003,0.1749539,0.5099999999999999,true,53.4573,963.866,85.844
0.01899999999999996,0.09250000000000003,0.04504609999999998,0.5099999999999999,true,7.55503,52.1808,9.89091
0.01899999999999996,0.09250000000000003,0.10999999999999999,0.5893880999999999,false,90.019,2197.1,119.108
0.07745850999999998,0.09250000000000003,0.10999999999999999,0.5893880999999999,false,90.0059,2218.9,64.1791
0.07745850999999998,0.15095851000000005,0.10999999999999999,0.5893880999999999,false,90.0078,2216.48,58.6939
0.07745850999999998,0.03404149000000002,0.10999999999999999,0.5893880999999999,true,40.4224,879.023,26.3108
0.07745850999999998,0.09250000000000003,0.16845851,0.5893880999999999,false,90.0064,2093.04,78.2477
0.07745850999999998,0.09250000000000003,0.05154148999999998,0.5893880999999999,false,90.0191,2328.75,66.2302
0.07745850999999998,0.09250000000000003,0.05154148999999998,0.6767150099999999,false,90.0261,2667.03,62.4867
0.141762871,0.09250000000000003,0.05154148999999998,0.6767150099999999,true,21.4101,413.479,20.1116
0.013154148999999948,0.09250000000000003,0.05154148999999998,0.6767150099999999,true,7.12447,62.0852,9.33692
0.07745850999999998,0.14511265900000003,0.05154148999999998,0.6767150099999999,true,9.2516,99.906,15.5205
0.07745850999999998,0.03988734100000001,0.05154148999999998,0.6767150099999999,false,90.03,2685.62,60.2604
0.07745850999999998,0.03988734100000001,0.115845851,0.6767150099999999,true,36.9605,879.845,26.0443
0.07745850999999998,0.03988734100000001,-0.012762871000000037,0.6767150099999999,true,6.62578,53.7288,7.09539
0.07745850999999998,0.03988734100000001,0.05154148999999998,0.7727746109999999,true,56.0431,1753.92,39.0665
0.07745850999999998,0.03988734100000001,0.05154148999999998,0.5806554089999998,false,90.0099,2330.22,59.4692
0.13533243490000002,0.03988734100000001,0.05154148999999998,0.6767150099999998,true,26.0518,563.813,17.6665
0.019584585099999954,0.03988734100000001,0.05154148999999998,0.6767150099999998,true,30.8382,726.316,35.9246
0.07745850999999998,0.09776126590000003,0.05154148999999998,0.6767150099999998,false,90.0137,2661.98,62.0061
0.07745850999999998,-0.017986583900000006,0.05154148999999998,0.6767150099999998,true,11.972,161.966,22.2296
