kp,ki,kd,min_throttle,max_throttle,throttle_angle_threshold,crashed,runtime,distance,total_absolute_cte
0.1,0.0025,0.01,-0.3,0.3,0.0,false,90.0337,745.61,57.148
0.2,0.0025,0.01,-0.3,0.3,0.0,false,90.0224,745.53,38.8623
0.0,0.0025,0.01,-0.3,0.3,0.0,true,18.6812,126.284,39.2588
0.1,0.10250000000000001,0.01,-0.3,0.3,0.0,true,8.43927,36.9756,10.1448
0.1,-0.0975,0.01,-0.3,0.3,0.0,true,5.85813,17.2979,8.98159
0.1,0.0025000000000000022,0.11,-0.3,0.3,0.0,false,90.0298,744.734,46.6504
0.1,0.0025000000000000022,-0.09000000000000001,-0.3,0.3,0.0,true,9.86019,49.2663,7.95897
0.1,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.3,0.0,false,90.0066,751.02,58.4808
0.1,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.4,0.0,false,90.0163,776.541,60.9676
0.1,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.4,0.1,true,55.0362,612.547,65.7721
0.1,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.4,-0.1,false,90.0099,752.203,58.8272
0.19,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.4,0.0,false,90.0091,767.784,43.5958
0.009999999999999981,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.4,0.0,true,45.3123,368.198,84.9305
0.09999999999999999,0.09250000000000001,0.009999999999999995,-0.19999999999999998,0.4,0.0,true,7.80385,41.5725,9.72754
0.09999999999999999,-0.08750000000000001,0.009999999999999995,-0.19999999999999998,0.4,0.0,true,5.49746,20.4457,8.53256
0.09999999999999999,0.0025000000000000022,0.1,-0.19999999999999998,0.4,0.0,false,90.0083,761.178,51.368
0.09999999999999999,0.0025000000000000022,-0.08000000000000002,-0.19999999999999998,0.4,0.0,true,9.0639,51.4695,8.10342
0.09999999999999999,0.0025000000000000022,0.009999999999999995,-0.08999999999999997,0.4,0.0,false,90.008,775.149,60.6554
0.09999999999999999,0.0025000000000000022,0.009999999999999995,-0.31,0.4,0.0,false,90.0211,770.653,60.678
0.09999999999999999,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.51,0.0,false,90.0246,794.487,61.6759
0.09999999999999999,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.51,0.09000000000000001,true,54.1197,615.423,73.4176
0.09999999999999999,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.51,-0.09000000000000001,false,90.0255,759.027,60.613
0.181,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.51,0.0,false,90.0238,793.507,44.0119
0.01899999999999996,0.0025000000000000022,0.009999999999999995,-0.19999999999999998,0.51,0.0,true,70.668,606.438,101.498
0.09999999999999998,0.08350000000000002,0.009999999999999995,-0.19999999999999998,0.51,0.0,true,9.42661,61.683,14.1011
0.09999999999999998,-0.07850000000000001,0.009999999999999995,-0.19999999999999998,0.51,0.0,true,5.32273,24.4681,8.42301
0.09999999999999998,0.0025000000000000022,0.09100000000000001,-0.19999999999999998,0.51,0.0,false,90.0224,771.44,51.9074
0.09999999999999998,0.0025000000000000022,-0.07100000000000002,-0.19999999999999998,0.51,0.0,true,8.44395,52.5905,7.8451
0.09999999999999998,0.0025000000000000022,0.009999999999999995,-0.10099999999999996,0.51,0.0,false,90.0276,797.032,62.2486
0.09999999999999998,0.0025000000000000022,0.009999999999999995,-0.10099999999999996,0.631,0.0,false,90.0356,815.988,62.9669
0.09999999999999998,0.0025000000000000022,0.009999999999999995,-0.10099999999999996,0.631,0.08100000000000002,true,53.5833,617.889,86.711
0.09999999999999998,0.0025000000000000022,0.009999999999999995,-0.10099999999999996,0.631,-0.08100000000000002,false,90.0324,765.508,60.4488
0.1729,0.0025000000000000022,0.009999999999999995,-0.10099999999999996,0.631,0.0,false,90.0276,817.463,54.1239
0.1729,0.07540000000000002,0.009999999999999995,-0.10099999999999996,0.631,0.0,true,10.4248,75.9063,13.1993
0.1729,-0.07040000000000002,0.009999999999999995,-0.10099999999999996,0.631,0.0,true,7.73122,50.3586,14.4074
0.1729,0.0025000000000000022,0.08290000000000002,-0.10099999999999996,0.631,0.0,false,90.0228,789.163,35.1581
0.1729,0.0025000000000000022,-0.06290000000000003,-0.10099999999999996,0.631,0.0,true,8.5378,58.0367,9.6455
0.1729,0.0025000000000000022,0.009999999999999995,0.00790000000000006,0.631,0.0,true,22.407,237.112,21.8302
0.1729,0.0025000000000000022,0.009999999999999995,-0.20989999999999998,0.631,0.0,false,90.006,816.465,54.3187
0.1729,0.0025000000000000022,0.009999999999999995,-0.10099999999999995,0.7641,0.0,false,90.01,841.363,71.0773
0.1729,0.0025000000000000022,0.009999999999999995,-0.10099999999999995,0.7641,0.07290000000000002,true,19.8751,201.691,23.5729
0.1729,0.0025000000000000022,0.009999999999999995,-0.10099999999999995,0.7641,-0.07290000000000002,false,90.0262,770.899,43.9062
